observation_date,PI
2000-01-01,8348.0
2000-02-01,8408.8
2000-03-01,8468.3
2000-04-01,8506.8
2000-05-01,8544.5
2000-06-01,8597.8
2000-07-01,8665.3
2000-08-01,8712.2
2000-09-01,8757.7
2000-10-01,8792.1
2000-11-01,8809.9
2000-12-01,8844.0
2001-01-01,8940.9
2001-02-01,8975.8
2001-03-01,9009.4
2001-04-01,9008.9
2001-05-01,9011.1
2001-06-01,9017.1
2001-07-01,9014.6
2001-08-01,9001.4
2001-09-01,8975.3
2001-10-01,8987.3
2001-11-01,8985.1
2001-12-01,8990.7
2002-01-01,9015.6
2002-02-01,9031.9
2002-03-01,9050.7
2002-04-01,9099.9
2002-05-01,9131.0
2002-06-01,9164.8
2002-07-01,9157.5
2002-08-01,9175.3
2002-09-01,9197.1
2002-10-01,9229.6
2002-11-01,9258.8
2002-12-01,9288.3
2003-01-01,9290.1
2003-02-01,9296.2
2003-03-01,9333.8
2003-04-01,9356.4
2003-05-01,9414.4
2003-06-01,9455.3
2003-07-01,9491.6
2003-08-01,9538.8
2003-09-01,9582.5
2003-10-01,9620.4
2003-11-01,9688.2
2003-12-01,9713.2
2004-01-01,9731.8
2004-02-01,9765.4
2004-03-01,9815.8
2004-04-01,9865.8
2004-05-01,9950.0
2004-06-01,9988.4
2004-07-01,10033.0
2004-08-01,10078.2
2004-09-01,10110.5
2004-10-01,10159.3
2004-11-01,10171.5
2004-12-01,10520.8
2005-01-01,10247.0
2005-02-01,10282.7
2005-03-01,10347.9
2005-04-01,10412.1
2005-05-01,10464.1
2005-06-01,10498.0
2005-07-01,10558.3
2005-08-01,10619.6
2005-09-01,10687.7
2005-10-01,10767.3
2005-11-01,10815.4
2005-12-01,10853.1
2006-01-01,11038.6
2006-02-01,11102.6
2006-03-01,11171.8
2006-04-01,11229.5
2006-05-01,11251.1
2006-06-01,11292.8
2006-07-01,11322.1
2006-08-01,11346.8
2006-09-01,11383.9
2006-10-01,11417.8
2006-11-01,11479.3
2006-12-01,11587.6
2007-01-01,11647.1
2007-02-01,11734.2
2007-03-01,11821.4
2007-04-01,11868.1
2007-05-01,11908.7
2007-06-01,11929.2
2007-07-01,11955.7
2007-08-01,11963.1
2007-09-01,12025.5
2007-10-01,12046.8
2007-11-01,12102.8
2007-12-01,12182.7
2008-01-01,12227.8
2008-02-01,12264.9
2008-03-01,12314.7
2008-04-01,12302.6
2008-05-01,12879.3
2008-06-01,12661.0
2008-07-01,12514.8
2008-08-01,12426.0
2008-09-01,12445.0
2008-10-01,12446.5
2008-11-01,12387.1
2008-12-01,12238.5
2009-01-01,12125.6
2009-02-01,12007.4
2009-03-01,11965.3
2009-04-01,12009.4
2009-05-01,12179.6
2009-06-01,12042.9
2009-07-01,11998.4
2009-08-01,12011.2
2009-09-01,12061.1
2009-10-01,12069.4
2009-11-01,12129.6
2009-12-01,12188.2
2010-01-01,12267.7
2010-02-01,12267.6
2010-03-01,12330.9
2010-04-01,12441.8
2010-05-01,12543.7
2010-06-01,12550.7
2010-07-01,12588.7
2010-08-01,12652.9
2010-09-01,12673.4
2010-10-01,12723.6
2010-11-01,12765.5
2010-12-01,12873.1
2011-01-01,13080.7
2011-02-01,13155.6
2011-03-01,13178.2
2011-04-01,13212.8
2011-05-01,13239.1
2011-06-01,13295.7
2011-07-01,13375.8
2011-08-01,13400.3
2011-09-01,13401.5
2011-10-01,13406.4
2011-11-01,13419.7
2011-12-01,13548.9
2012-01-01,13631.6
2012-02-01,13731.1
2012-03-01,13798.5
2012-04-01,13868.1
2012-05-01,13850.3
2012-06-01,13837.1
2012-07-01,13752.9
2012-08-01,13768.5
2012-09-01,13914.1
2012-10-01,14049.2
2012-11-01,14230.7
2012-12-01,14581.4
2013-01-01,13880.4
2013-02-01,13902.0
2013-03-01,13932.2
2013-04-01,13974.9
2013-05-01,14052.5
2013-06-01,14083.9
2013-07-01,14072.0
2013-08-01,14117.3
2013-09-01,14181.7
2013-10-01,14152.3
2013-11-01,14209.6
2013-12-01,14266.5
2014-01-01,14369.2
2014-02-01,14456.4
2014-03-01,14555.0
2014-04-01,14624.5
2014-05-01,14689.5
2014-06-01,14760.1
2014-07-01,14821.1
2014-08-01,14894.2
2014-09-01,14951.2
2014-10-01,15022.7
2014-11-01,15094.0
2014-12-01,15170.9
2015-01-01,15230.8
2015-02-01,15313.3
2015-03-01,15314.2
2015-04-01,15373.5
2015-05-01,15442.7
2015-06-01,15479.0
2015-07-01,15518.6
2015-08-01,15550.5
2015-09-01,15570.5
2015-10-01,15608.0
2015-11-01,15615.4
2015-12-01,15668.4
2016-01-01,15695.5
2016-02-01,15695.9
2016-03-01,15731.6
2016-04-01,15758.9
2016-05-01,15777.2
2016-06-01,15821.4
2016-07-01,15891.5
2016-08-01,15931.3
2016-09-01,15999.1
2016-10-01,16059.4
2016-11-01,16107.6
2016-12-01,16182.5
2017-01-01,16293.3
2017-02-01,16363.5
2017-03-01,16415.1
2017-04-01,16476.0
2017-05-01,16573.2
2017-06-01,16604.0
2017-07-01,16665.9
2017-08-01,16733.7
2017-09-01,16841.9
2017-10-01,16930.8
2017-11-01,16997.5
2017-12-01,17058.2
2018-01-01,17141.7
2018-02-01,17204.1
2018-03-01,17268.2
2018-04-01,17328.7
2018-05-01,17404.4
2018-06-01,17488.4
2018-07-01,17587.6
2018-08-01,17664.0
2018-09-01,17693.5
2018-10-01,17749.8
2018-11-01,17795.7
2018-12-01,18012.4
2019-01-01,18078.6
2019-02-01,18152.9
2019-03-01,18226.6
2019-04-01,18266.8
2019-05-01,18286.9
2019-06-01,18324.3
2019-07-01,18342.4
2019-08-01,18432.4
2019-09-01,18477.3
2019-10-01,18546.3
2019-11-01,18629.5
2019-12-01,18594.0
2020-01-01,18808.1
2020-02-01,18904.6
2020-03-01,18591.4
2020-04-01,20752.1
2020-05-01,19893.3
2020-06-01,19949.4
2020-07-01,20199.6
2020-08-01,19597.4
2020-09-01,19758.2
2020-10-01,19763.6
2020-11-01,19620.7
2020-12-01,19741.5
2021-01-01,21826.1
2021-02-01,20313.1
2021-03-01,24535.1
2021-04-01,21372.5
2021-05-01,20970.3
2021-06-01,21008.4
2021-07-01,21234.4
2021-08-01,21285.2
2021-09-01,21164.2
2021-10-01,21330.9
2021-11-01,21439.1
2021-12-01,21507.6
2022-01-01,21503.8
2022-02-01,21649.2
2022-03-01,21747.5
2022-04-01,21821.7
2022-05-01,21907.2
2022-06-01,22011.1
2022-07-01,22218.4
2022-08-01,22357.1
2022-09-01,22487.0
2022-10-01,22636.4
2022-11-01,22705.7
2022-12-01,22800.5
2023-01-01,22965.0
2023-02-01,23113.0
2023-03-01,23248.0
2023-04-01,23359.9
2023-05-01,23468.5
2023-06-01,23556.2
2023-07-01,23635.2
2023-08-01,23737.7
2023-09-01,23833.1
2023-10-01,23919.7
2023-11-01,24038.2
2023-12-01,24145.9
2024-01-01,24363.4
2024-02-01,24475.0
2024-03-01,24597.8
2024-04-01,24690.5
2024-05-01,24807.7
2024-06-01,24904.1
2024-07-01,24950.8
2024-08-01,25013.0
2024-09-01,25101.3
2024-10-01,25226.6
2024-11-01,25322.1
2024-12-01,25418.6
2025-01-01,25570.5
2025-02-01,25705.4
2025-03-01,25877.3
2025-04-01,26061.1
2025-05-01,25925.8
2025-06-01,25975.7
2025-07-01,26149.6
2025-08-01,26278.1
2025-09-01,26381.0
2025-10-01,26405.7
2025-11-01,26494.8
2025-12-01,26565.7
2026-01-01,26695.1
2026-02-01,26695.3
2026-03-01,26844.5
